Job_Title,Experience,Industry,Required_Skills,Salary_USD
Cybersecurity Analyst,mid,Entertainment,UX/UI Design,111392.1652
Marketing Specialist,mid,Technology,Marketing,93792.56247
AI Researcher,mid,Technology,UX/UI Design,107170.2631
Sales Manager,mid,Retail,Project Management,93027.95376
Cybersecurity Analyst,mid,Entertainment,JavaScript,87752.92217
UX Designer,mid,Education,Cybersecurity,102825.0079
HR Manager,mid,Finance,Sales,102065.7207
Cybersecurity Analyst,mid,Technology,Machine Learning,86607.31762
AI Researcher,mid,Retail,JavaScript,75015.86085
Sales Manager,mid,Entertainment,Cybersecurity,96834.57829
Marketing Specialist,mid,Finance,Python,91566.97338
AI Researcher,mid,Entertainment,UX/UI Design,78902.56574
AI Researcher,mid,Transportation,Python,73151.99035
HR Manager,mid,Retail,Cybersecurity,98209.51688
Product Manager,mid,Finance,JavaScript,101001.9011
Sales Manager,mid,Telecommunications,UX/UI Design,82799.35771
Software Engineer,mid,Manufacturing,Machine Learning,78401.25928
AI Researcher,mid,Manufacturing,Project Management,73394.89622
Product Manager,mid,Finance,UX/UI Design,97645.09878
Software Engineer,mid,Entertainment,UX/UI Design,73920.45853
Sales Manager,mid,Retail,JavaScript,134822.6914
Data Scientist,mid,Manufacturing,JavaScript,81794.37128
UX Designer,mid,Retail,Cybersecurity,41495.71444
Product Manager,mid,Manufacturing,Data Analysis,89396.56667
Operations Manager,mid,Transportation,UX/UI Design,88539.3304
Data Scientist,mid,Entertainment,Sales,112234.3714
UX Designer,mid,Transportation,UX/UI Design,95762.52473
HR Manager,mid,Manufacturing,Cybersecurity,73323.29633
Cybersecurity Analyst,mid,Telecommunications,Marketing,84272.16253
Marketing Specialist,mid,Telecommunications,Python,96548.39543
Operations Manager,mid,Transportation,Project Management,46705.71499
HR Manager,mid,Telecommunications,Data Analysis,116772.4347
Sales Manager,mid,Manufacturing,Machine Learning,73376.60228
HR Manager,mid,Finance,Machine Learning,118340.8764
Cybersecurity Analyst,mid,Transportation,Machine Learning,97849.30282
Sales Manager,mid,Healthcare,JavaScript,102591.8827
Operations Manager,mid,Entertainment,Machine Learning,112988.4687
Cybersecurity Analyst,mid,Telecommunications,Project Management,101462.6411
Software Engineer,mid,Telecommunications,Python,103457.7243
Marketing Specialist,mid,Technology,Machine Learning,86711.67119
Operations Manager,mid,Education,UX/UI Design,97443.37363
Software Engineer,mid,Transportation,UX/UI Design,78250.0437
UX Designer,mid,Energy,JavaScript,83131.77801
Operations Manager,mid,Telecommunications,Project Management,129293.901
UX Designer,mid,Entertainment,Python,73836.1283
Sales Manager,mid,Healthcare,Data Analysis,93086.34253
Software Engineer,mid,Telecommunications,Cybersecurity,92269.38073
Marketing Specialist,mid,Healthcare,Python,83784.91056
Cybersecurity Analyst,mid,Manufacturing,Cybersecurity,100288.0187
AI Researcher,mid,Manufacturing,Marketing,101794.4419
HR Manager,mid,Education,Cybersecurity,71483.61634
Data Scientist,mid,Finance,Sales,92027.13423
Marketing Specialist,mid,Energy,UX/UI Design,68352.65322
Software Engineer,mid,Technology,Project Management,105770.9724
AI Researcher,mid,Education,Communication,93529.74621
Marketing Specialist,mid,Retail,JavaScript,91646.59773
Software Engineer,mid,Technology,Sales,103180.627
Product Manager,mid,Transportation,Cybersecurity,84489.79419
Product Manager,mid,Entertainment,Machine Learning,108280.4392
UX Designer,mid,Retail,Project Management,71031.10254
Marketing Specialist,mid,Retail,Sales,118237.5304
Product Manager,mid,Education,JavaScript,78981.77635
Software Engineer,mid,Finance,UX/UI Design,56076.41865
UX Designer,mid,Education,Project Management,83429.30183
Software Engineer,mid,Transportation,JavaScript,81160.63605
UX Designer,mid,Telecommunications,Marketing,83278.52028
Marketing Specialist,mid,Telecommunications,Marketing,94632.96031
AI Researcher,mid,Finance,JavaScript,111956.8472
Cybersecurity Analyst,mid,Transportation,Sales,86165.88172
Operations Manager,mid,Finance,Project Management,76167.6486
AI Researcher,mid,Healthcare,Sales,67469.06375
Sales Manager,mid,Telecommunications,Data Analysis,80636.34417
Software Engineer,mid,Retail,Cybersecurity,52243.50321
Sales Manager,mid,Energy,Data Analysis,75497.33813
AI Researcher,mid,Entertainment,Marketing,114881.0779
UX Designer,mid,Transportation,UX/UI Design,73532.81591
Operations Manager,mid,Technology,Python,102574.3172
Operations Manager,mid,Finance,Cybersecurity,65470.3582
Data Scientist,mid,Entertainment,Marketing,125421.918
Operations Manager,mid,Technology,Sales,126752.1347
Cybersecurity Analyst,mid,Entertainment,Sales,101820.4311
Operations Manager,mid,Energy,Sales,129825.052
AI Researcher,mid,Technology,UX/UI Design,97115.8595
Data Scientist,mid,Education,Data Analysis,105370.3423
AI Researcher,mid,Manufacturing,Python,115238.6775
AI Researcher,mid,Education,Sales,93594.36906
HR Manager,mid,Telecommunications,Communication,58952.45077
Data Scientist,mid,Manufacturing,Cybersecurity,105779.2671
AI Researcher,mid,Education,Project Management,80562.80811
HR Manager,mid,Manufacturing,Communication,82049.40358
HR Manager,mid,Manufacturing,Python,95957.89833
Data Scientist,mid,Retail,UX/UI Design,101325.6176
Sales Manager,mid,Finance,Python,93002.69268
UX Designer,mid,Finance,Project Management,102714.5907
Cybersecurity Analyst,mid,Retail,Cybersecurity,75862.85732
UX Designer,mid,Entertainment,Project Management,89145.92411
Operations Manager,mid,Healthcare,JavaScript,106981.709
Cybersecurity Analyst,mid,Entertainment,Cybersecurity,125455.8235
Operations Manager,mid,Technology,Python,132528.7118
AI Researcher,mid,Technology,Sales,98659.53365
Software Engineer,mid,Manufacturing,Python,106800.1965
Data Scientist,mid,Education,Python,129631.5833
Cybersecurity Analyst,mid,Education,Cybersecurity,76583.27927
Cybersecurity Analyst,mid,Finance,JavaScript,102593.9971
AI Researcher,mid,Transportation,Python,105366.859
Sales Manager,mid,Entertainment,Communication,118957.2287
HR Manager,mid,Telecommunications,Marketing,67257.17239
AI Researcher,mid,Energy,Machine Learning,71211.88432
Product Manager,mid,Education,Machine Learning,90427.64422
HR Manager,mid,Energy,Python,97554.55325
Data Scientist,mid,Manufacturing,Communication,112457.2791
HR Manager,mid,Energy,Sales,100350.8755
Sales Manager,mid,Telecommunications,UX/UI Design,86971.7354
HR Manager,mid,Retail,UX/UI Design,98329.2289
Data Scientist,mid,Telecommunications,Cybersecurity,96020.88953
Sales Manager,mid,Energy,Machine Learning,124900.3286
UX Designer,mid,Telecommunications,Python,93313.17887
Cybersecurity Analyst,mid,Healthcare,UX/UI Design,82338.33173
Cybersecurity Analyst,mid,Manufacturing,Python,98992.1806
Operations Manager,mid,Entertainment,Cybersecurity,93969.70639
UX Designer,mid,Retail,Machine Learning,58580.13289
UX Designer,mid,Education,Project Management,89686.95877
HR Manager,mid,Technology,Marketing,87985.23509
Cybersecurity Analyst,mid,Entertainment,Marketing,79122.56268
Data Scientist,mid,Technology,UX/UI Design,110711.6658
Marketing Specialist,mid,Manufacturing,Marketing,74286.40807
Marketing Specialist,mid,Retail,Project Management,99112.37239
Sales Manager,mid,Finance,Python,87042.86
Cybersecurity Analyst,mid,Education,Cybersecurity,92153.90011
Cybersecurity Analyst,mid,Healthcare,Project Management,98235.72582
Marketing Specialist,mid,Finance,Cybersecurity,63848.51232
Cybersecurity Analyst,mid,Manufacturing,Cybersecurity,93833.21783
HR Manager,mid,Entertainment,Machine Learning,135778.9498
Product Manager,mid,Healthcare,Python,58864.73308
Software Engineer,mid,Telecommunications,Communication,88847.84073
UX Designer,mid,Energy,Marketing,112464.7865
Operations Manager,mid,Healthcare,Communication,96032.38496
Sales Manager,mid,Manufacturing,Machine Learning,103759.339
Product Manager,entry,Transportation,Cybersecurity,42486.67978
Marketing Specialist,entry,Energy,UX/UI Design,101964.9875
UX Designer,entry,Technology,Marketing,74766.23588
Cybersecurity Analyst,entry,Education,Marketing,96197.54569
Operations Manager,entry,Technology,Python,89411.30538
Cybersecurity Analyst,entry,Healthcare,JavaScript,135566.6606
Data Scientist,entry,Technology,Data Analysis,100933.9065
Data Scientist,entry,Manufacturing,Data Analysis,87747.52341
Operations Manager,entry,Telecommunications,Data Analysis,59806.14481
Operations Manager,entry,Entertainment,JavaScript,92422.93804
Marketing Specialist,entry,Education,Python,106464.5776
Operations Manager,entry,Technology,JavaScript,88388.96216
HR Manager,entry,Technology,Data Analysis,79886.8728
Cybersecurity Analyst,entry,Healthcare,Machine Learning,78548.26672
Product Manager,entry,Entertainment,Project Management,100702.8287
AI Researcher,entry,Finance,Cybersecurity,105187.7588
Operations Manager,entry,Technology,JavaScript,117224.2023
Sales Manager,entry,Manufacturing,Python,70100.00214
Data Scientist,entry,Transportation,Python,100519.5512
HR Manager,entry,Education,Communication,87565.92091
UX Designer,entry,Technology,Project Management,88155.31591
AI Researcher,entry,Manufacturing,UX/UI Design,98036.51708
Product Manager,entry,Manufacturing,Marketing,98153.12507
AI Researcher,entry,Education,Data Analysis,100575.3621
Operations Manager,entry,Finance,UX/UI Design,68850.57616
Marketing Specialist,entry,Manufacturing,Communication,75003.77186
Data Scientist,entry,Transportation,Data Analysis,119717.3655
Data Scientist,entry,Manufacturing,Project Management,85588.55065
UX Designer,entry,Manufacturing,Communication,96120.28796
Marketing Specialist,entry,Manufacturing,Data Analysis,111093.3262
Cybersecurity Analyst,entry,Telecommunications,Project Management,99268.86145
Software Engineer,entry,Telecommunications,Sales,100930.4526
HR Manager,entry,Finance,UX/UI Design,107891.5536
Data Scientist,entry,Technology,UX/UI Design,47666.72478
Sales Manager,entry,Manufacturing,Marketing,80200.9969
Data Scientist,entry,Entertainment,Project Management,99372.11593
AI Researcher,entry,Technology,JavaScript,117752.8861
Data Scientist,entry,Finance,Sales,91321.91119
Data Scientist,entry,Retail,Machine Learning,73105.67076
Software Engineer,entry,Technology,Data Analysis,73638.27901
Software Engineer,entry,Technology,Sales,107677.2241
Product Manager,entry,Energy,Project Management,85644.52835
Cybersecurity Analyst,entry,Healthcare,Cybersecurity,89855.99908
Sales Manager,entry,Energy,Data Analysis,102300.6039
Data Scientist,entry,Transportation,Python,31969.52635
Data Scientist,entry,Telecommunications,UX/UI Design,130007.3502
HR Manager,entry,Telecommunications,Project Management,75378.5233
Software Engineer,entry,Healthcare,Python,94838.72739
Sales Manager,entry,Education,Marketing,55906.05973
UX Designer,entry,Education,Communication,81549.17779
Product Manager,entry,Finance,Machine Learning,114893.7609
Cybersecurity Analyst,entry,Healthcare,Machine Learning,51676.65641
Marketing Specialist,entry,Technology,Python,112524.0017
Cybersecurity Analyst,entry,Education,UX/UI Design,84526.07808
AI Researcher,entry,Manufacturing,Marketing,99743.2888
Data Scientist,entry,Entertainment,Cybersecurity,103150.4883
Product Manager,entry,Technology,UX/UI Design,98828.42999
AI Researcher,entry,Transportation,Sales,72700.98697
Sales Manager,entry,Manufacturing,Machine Learning,82709.01707
Marketing Specialist,entry,Manufacturing,Sales,60768.87645
Software Engineer,entry,Healthcare,Data Analysis,99835.92663
Product Manager,entry,Finance,JavaScript,124041.1031
Product Manager,entry,Transportation,Project Management,53511.18227
Data Scientist,entry,Education,Marketing,74767.08188
Operations Manager,entry,Healthcare,UX/UI Design,86364.49448
Product Manager,entry,Education,Machine Learning,93466.82847
HR Manager,entry,Healthcare,Sales,107583.526
Marketing Specialist,entry,Healthcare,Communication,86956.00039
Marketing Specialist,entry,Healthcare,Data Analysis,83680.82547
HR Manager,entry,Finance,Project Management,112062.6141
UX Designer,entry,Healthcare,Project Management,103239.9113
HR Manager,entry,Retail,UX/UI Design,100779.5595
HR Manager,entry,Entertainment,Marketing,92250.31423
